f1_weighted,f1_0,f1_1,kind,metric,bal_acc,corpus
0.8424671292,0.9231918454,0.312834233,gap_500,500,0.6702859129,SWB_GT
0.8543123007,0.9279400706,0.3712418377,gap_500,500,0.6946119322,SWB_GT
0.8300041556,0.9021512866,0.4426877499,gap_750,750,0.6929824561,SWB_GT
0.8313490152,0.9120432734,0.3981481493,gap_750,750,0.7067669173,SWB_GT
0.82632792,0.9029594064,0.4149377644,gap_750,750,0.704408079,SWB_GT
0.8152322173,0.9074446559,0.3201970458,gap_750,750,0.6800457025,SWB_GT
0.8290652633,0.9161936641,0.361323148,gap_750,750,0.6944751585,SWB_GT
0.8152520657,0.8939641118,0.4628099203,gap_1000,1000,0.6775870647,SWB_GT
0.8066099882,0.8866994977,0.4480000138,gap_1000,1000,0.6867288557,SWB_GT
0.8061195612,0.8960000277,0.4036697149,gap_1000,1000,0.6934577114,SWB_GT
0.8011948466,0.8892481923,0.4069263935,gap_1000,1000,0.685858209,SWB_GT
0.8080673814,0.89337641,0.4260869622,gap_1000,1000,0.7074502488,SWB_GT
0.8028318882,0.8943662047,0.4339622557,gap_1250,1250,0.6956329464,SWB_GT
0.7942368388,0.9047619104,0.3488371968,gap_1250,1250,0.6894140409,SWB_GT
0.7873991132,0.8991453052,0.3370786607,gap_1250,1250,0.7034273079,SWB_GT
0.7808367014,0.881834209,0.3738317788,gap_1250,1250,0.6744886678,SWB_GT
0.7986073494,0.8927943707,0.4190476239,gap_1250,1250,0.7189883914,SWB_GT
0.7505347729,0.8695651889,0.3773584962,gap_1500,1500,0.6775396086,SWB_GT
0.7124183178,0.8103448153,0.4054054022,gap_1500,1500,0.655055918,SWB_GT
0.7204352021,0.8421052694,0.3389830589,gap_1500,1500,0.6691519105,SWB_GT
0.6997821331,0.8166666627,0.3333333433,gap_1500,1500,0.6096225536,SWB_GT
0.7593142986,0.8303571343,0.5365853906,gap_1500,1500,0.6981593663,SWB_GT
0.7992662191,0.8904852867,0.4204809964,ekstedt_events,250,0.6937275556,SWB_ASR
0.8049765825,0.8889219165,0.4563953578,ekstedt_events,250,0.7101135885,SWB_ASR
0.8017144799,0.889936626,0.4353741407,ekstedt_events,250,0.7130384507,SWB_ASR
0.7858387232,0.8791826963,0.3982300758,ekstedt_events,250,0.6802300308,SWB_ASR
0.7998157144,0.8870131969,0.4377302825,ekstedt_events,250,0.7053939553,SWB_ASR
0.8412401676,0.9155484438,0.4548022747,gap_0,0,0.7232813835,SWB_ASR
0.8449501991,0.9128569365,0.4918032885,gap_0,0,0.7430087434,SWB_ASR
0.8427628875,0.9114860892,0.4853700399,gap_0,0,0.7411250818,SWB_ASR
0.8304013014,0.9077442288,0.4281818271,gap_0,0,0.7098178221,SWB_ASR
0.8428608179,0.9181422591,0.4513618648,gap_0,0,0.7262784154,SWB_ASR
0.7780811787,0.8803995252,0.3655629158,gap_500,500,0.6733310348,SWB_ASR
0.7862561941,0.8889987469,0.3720279634,gap_500,500,0.6893203076,SWB_ASR
0.7894953489,0.8883917332,0.3907734156,gap_500,500,0.692941106,SWB_ASR
0.7765994668,0.8775715232,0.3695090413,gap_500,500,0.6614780751,SWB_ASR
0.787532568,0.8897676468,0.3753501475,gap_500,500,0.6915553136,SWB_ASR
0.7716473341,0.8741829991,0.3583333194,gap_750,750,0.6619558626,SWB_ASR
0.7801146507,0.8831378818,0.3648351729,gap_750,750,0.6776834445,SWB_ASR
0.7798973918,0.8809427023,0.3725910187,gap_750,750,0.6790808659,SWB_ASR
0.7740134001,0.8747954369,0.3677685857,gap_750,750,0.6532285707,SWB_ASR
0.7833502889,0.8824725747,0.383795321,gap_750,750,0.6786546084,SWB_ASR
0.7464171052,0.8626865745,0.3185185194,gap_1000,1000,0.643052647,SWB_ASR
0.757484138,0.8738007545,0.3294117749,gap_1000,1000,0.6729123039,SWB_ASR
0.7556592226,0.871111095,0.3307692409,gap_1000,1000,0.6723107021,SWB_ASR
0.7575457096,0.8586707115,0.3853820562,gap_1000,1000,0.6382490172,SWB_ASR
0.7621936798,0.8769344091,0.339920938,gap_1000,1000,0.658979022,SWB_ASR
0.6866680384,0.7928802371,0.401869148,gap_1250,1250,0.6348900377,SWB_ASR
0.6913983822,0.7993579507,0.4019138813,gap_1250,1250,0.6579047285,SWB_ASR
0.7046488523,0.8310502172,0.3657142818,gap_1250,1250,0.6524431204,SWB_ASR
0.7070621848,0.8200312853,0.4041450918,gap_1250,1250,0.656794883,SWB_ASR
0.7069806457,0.8439821601,0.3396226466,gap_1250,1250,0.6341452729,SWB_ASR
0.6387892365,0.730769217,0.4444444478,gap_1500,1500,0.6109332677,SWB_ASR
0.6373056769,0.7328244448,0.4354838729,gap_1500,1500,0.6793277518,SWB_ASR
0.6439964175,0.7876712084,0.3404255211,gap_1500,1500,0.6457769022,SWB_ASR
0.6399751306,0.714859426,0.4817518294,gap_1500,1500,0.6101329722,SWB_ASR
0.6141082644,0.7455196977,0.3364486098,gap_1500,1500,0.6161044078,SWB_ASR
