,f1_weighted,f1_0,f1_1,kind,metric,bal_acc,corpus
0,0.8794430494308472,0.9248837232589722,0.7067264318466187,gap_0,shift_hold_p_future_after,0.8109229574048714,CND
1,0.8792378306388855,0.9244398474693298,0.7074284553527832,gap_0,shift_hold_p_future_after,0.8125462791312317,CND
2,0.8794101476669312,0.9260315895080566,0.7022058963775635,gap_0,shift_hold_p_future_after,0.8038522032706953,CND
3,0.8730507493019104,0.9201095700263977,0.694183886051178,gap_0,shift_hold_p_future_after,0.805881482177379,CND
4,0.8785659670829773,0.9234630465507507,0.7079159021377563,gap_0,shift_hold_p_future_after,0.8149495808748938,CND
0,0.8596620559692383,0.9115976095199585,0.6622589826583862,gap_0,shift_hold_p_future_before,0.7860706298190185,CND
1,0.8626647591590881,0.9150057435035706,0.6637208461761475,gap_0,shift_hold_p_future_before,0.7827250716548614,CND
2,0.8613767027854919,0.9150453805923462,0.6573861241340637,gap_0,shift_hold_p_future_before,0.7766135519340006,CND
3,0.8524119853973389,0.9096249938011169,0.6349498629570007,gap_0,shift_hold_p_future_before,0.7629306649446415,CND
4,0.8586169481277466,0.9118069410324097,0.6564458608627319,gap_0,shift_hold_p_future_before,0.7801034769053414,CND
0,0.8027850985527039,0.8562822937965393,0.6878504753112793,gap_500,shift_hold_p_future_after,0.7709929473437986,CND
1,0.8030211329460144,0.8525774478912354,0.6965532898902893,gap_500,shift_hold_p_future_after,0.778979055117101,CND
2,0.8019700050354004,0.8564075231552124,0.6850152611732483,gap_500,shift_hold_p_future_after,0.7686856537245138,CND
3,0.7967575788497925,0.8494401574134827,0.6835732460021973,gap_500,shift_hold_p_future_after,0.7686788445948327,CND
4,0.8000515103340149,0.8529698252677917,0.6863604784011841,gap_500,shift_hold_p_future_after,0.7703697117094601,CND
0,0.7832450866699219,0.8400737047195435,0.661153256893158,gap_500,shift_hold_p_future_before,0.7518977444958199,CND
1,0.7867719531059265,0.8426759243011475,0.6666666865348816,gap_500,shift_hold_p_future_before,0.7559760126377447,CND
2,0.7827960848808289,0.841254472732544,0.6572027206420898,gap_500,shift_hold_p_future_before,0.748766546185125,CND
3,0.7722006440162659,0.835737943649292,0.6356956362724304,gap_500,shift_hold_p_future_before,0.7330564821312415,CND
4,0.7750095129013062,0.83307945728302,0.6502507925033569,gap_500,shift_hold_p_future_before,0.7439174445095985,CND
0,0.7715469002723694,0.8296692967414856,0.6584898233413696,gap_750,shift_hold_p_future_after,0.74177043313632,CND
1,0.7724825739860535,0.8244962096214294,0.671308159828186,gap_750,shift_hold_p_future_after,0.7510160451705896,CND
2,0.7711735963821411,0.8166633248329163,0.6826889514923096,gap_750,shift_hold_p_future_after,0.7599943876291042,CND
3,0.7627102732658386,0.8113622665405273,0.6680746078491211,gap_750,shift_hold_p_future_after,0.7481558834565356,CND
4,0.7726902365684509,0.8195804357528687,0.6814814805984497,gap_750,shift_hold_p_future_after,0.7589839287118623,CND
0,0.7575965523719788,0.8147716522216797,0.646382212638855,gap_750,shift_hold_p_future_before,0.7319870898057697,CND
1,0.7636473774909973,0.8201550245285034,0.6537313461303711,gap_750,shift_hold_p_future_before,0.7377278719799045,CND
2,0.7590970993041992,0.8111639022827148,0.6578192114830017,gap_750,shift_hold_p_future_before,0.7401904665725855,CND
3,0.7510619759559631,0.8132079243659973,0.6301786303520203,gap_750,shift_hold_p_future_before,0.7204582236759056,CND
4,0.754371166229248,0.8094302415847778,0.6472727060317993,gap_750,shift_hold_p_future_before,0.7321720891049488,CND
0,0.7491410374641418,0.8053545355796814,0.6469816565513611,gap_1000,shift_hold_p_future_after,0.7263020172680654,CND
1,0.7432848811149597,0.7930007576942444,0.6529338359832764,gap_1000,shift_hold_p_future_after,0.7286593447940688,CND
2,0.748748779296875,0.795956552028656,0.6629561185836792,gap_1000,shift_hold_p_future_after,0.7364776718991547,CND
3,0.741123616695404,0.7847328186035156,0.6618704795837402,gap_1000,shift_hold_p_future_after,0.7343365039911142,CND
4,0.744534969329834,0.7865082621574402,0.6682549118995667,gap_1000,shift_hold_p_future_after,0.739526710202639,CND
0,0.7343228459358215,0.7922881245613098,0.6289798617362976,gap_1000,shift_hold_p_future_before,0.7117119556697005,CND
1,0.7419795989990234,0.7976667881011963,0.6407766938209534,gap_1000,shift_hold_p_future_before,0.7207469526244628,CND
2,0.7355518341064453,0.7879911065101624,0.6402515769004822,gap_1000,shift_hold_p_future_before,0.7187378558676172,CND
3,0.7284520864486694,0.78125,0.6324999928474426,gap_1000,shift_hold_p_future_before,0.7120668375040262,CND
4,0.7342513203620911,0.7831642031669617,0.6453595757484436,gap_1000,shift_hold_p_future_before,0.7216581485524907,CND
0,0.735520601272583,0.7888815402984619,0.642777144908905,gap_1250,shift_hold_p_future_after,0.7174428359461065,CND
1,0.7334578037261963,0.775086522102356,0.6611053347587585,gap_1250,shift_hold_p_future_after,0.7280203130551086,CND
2,0.7271314859390259,0.7682672142982483,0.6556360125541687,gap_1250,shift_hold_p_future_after,0.7227778490970482,CND
3,0.7232705950737,0.7633053064346313,0.6536885499954224,gap_1250,shift_hold_p_future_after,0.7204685974617637,CND
4,0.7407618165016174,0.7858599424362183,0.6623794436454773,gap_1250,shift_hold_p_future_after,0.7307042396486714,CND
0,0.7195833325386047,0.7767503261566162,0.6202247142791748,gap_1250,shift_hold_p_future_before,0.699671898183946,CND
